02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	7.813.400
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	8.475.070
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	8.171.130
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	7.861.065
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	7.456.170
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	7.293.055
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	6.887.040
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	6.982.095
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	7.042.055
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	7.240.945
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	7.381.894
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	7.386.177
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	7.395.694
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	7.003.100
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	6.632.333
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	6.169.628
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	5.721.425
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	5.356.193
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	5.134.267
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	4.711.419
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	4.275.480
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	7.813.400
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	8.475.070
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	8.171.130
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	7.861.065
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	7.456.170
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	7.293.055
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	6.887.040
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	6.982.095
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	7.042.055
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	7.240.945
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	7.381.894
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	7.386.177
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	7.395.694
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	7.003.100
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	6.632.333
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	6.169.628
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	5.721.425
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	5.356.193
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	5.134.267
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	4.711.419
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	4.275.480
03 Alicante/Alacant	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	34.013.530
03 Alicante/Alacant	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	37.366.493
