PROVINCIA	TECNOLOGIA	PROVINCIA	PRODUCCION EN BORNES DE LOS GENERADORES (GWh)	PRODUCCION NETA (GWH)	YEAR	PROD_NETA(GBH)_X_HAB(100K)	PROD_NETA(GWH)_X_PIB(G)
ALBACETE	Combustibles	108,00	104,00	2020	26,79	13,31
ALBACETE	Combustibles	110	106	2021	27,43	NA
ALBACETE	Combustibles	134,85	129,44	2014	32,61	18,79
ALBACETE	Combustibles	145,00	140,00	2019	36,07	16,52
ALBACETE	Combustibles	149,55	143,92	2013	35,98	20,61
ALBACETE	Combustibles	159,89	159	2016	40,55	21,32
ALBACETE	Combustibles	160,00	154,00	2018	39,61	18,85
ALBACETE	Combustibles	160,04	153,67	2015	38,95	21,07
ALBACETE	Combustibles	176,30	175,46	2017	44,99	22,32
ALBACETE	Energía Mareomotriz, olas	0,00	0,00	2021	0,00	NA
ALBACETE	Eólica	3976,39	3903,33	2015	989,24	535,21
ALBACETE	Eólica	4010,00	3912,00	2020	1007,55	500,68
ALBACETE	Eólica	4182,67	4075,35	2017	1044,88	518,42
ALBACETE	Eólica	4254,97	4177,25	2016	1065,30	560,24
ALBACETE	Eólica	4304,00	4199,00	2021	1086,52	NA
ALBACETE	Eólica	4585,00	4482,00	2019	1154,66	528,85
ALBACETE	Eólica	4619,68	4513,13	2014	1136,85	655,31
ALBACETE	Eólica	4660,00	4539,00	2018	1167,48	555,49
ALBACETE	Eólica	4771,79	4676,18	2013	1169,02	669,74
ALBACETE	Hidráulica	165,00	162,00	2020	41,72	20,73
ALBACETE	Hidráulica	168,03	166,92	2016	42,57	22,39
ALBACETE	Hidráulica	173,00	171,00	2018	43,98	20,93
ALBACETE	Hidráulica	174,00	172,00	2019	44,31	20,29
ALBACETE	Hidráulica	198,00	195,00	2021	50,46	NA
ALBACETE	Hidráulica	202,31	200,1	2015	50,71	27,44
ALBACETE	Hidráulica	295,44	293,12	2013	73,28	41,98
ALBACETE	Hidráulica	314,85	313,16	2014	78,88	45,47
ALBACETE	Hidráulica	69,52	68,91	2017	17,67	8,77
ALBACETE	Nuclear	0,00	0,00	2013	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2014	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2015	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2016	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2017	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2018	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2019	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2020	0,00	0,00
ALBACETE	Nuclear	0,00	0,00	2021	0,00	NA
ALBACETE	Solar fotovoltaica	1037,00	1026,00	2020	264,25	131,31
ALBACETE	Solar fotovoltaica	1101,00	1090,00	2021	282,04	NA
ALBACETE	Solar fotovoltaica	535,00	530,00	2018	136,32	64,86
ALBACETE	Solar fotovoltaica	552,43	546,96	2016	139,49	73,36
ALBACETE	Solar fotovoltaica	570,13	570,13	2014	143,61	82,78
ALBACETE	Solar fotovoltaica	573,73	573,73	2015	145,40	78,67
ALBACETE	Solar fotovoltaica	577,10	577,10	2013	144,27	82,65
ALBACETE	Solar fotovoltaica	588,57	582,74	2017	149,41	74,13
